2/9/16,LPK,Lloyd Park,.,4:21:40,0:00:13,3,2541,0,0,3,4.3,1.4,,,
2/9/16,TPL,Therapia Lane,.,4:21:43,0:00:37,3,2552,9,3,32,45.7,15.4,,,
2/9/16,RVC,Reeves Corner,.,4:21:48,0:00:20,3,2548,0,0,0,0,0,,,
2/9/16,WMB,Wimbledon,B,4:22:59,,3,2550,0,6,0,0,0,,,
2/9/16,TWR,Centrale,.,4:23:07,0:00:21,3,2548,4,0,4,5.7,1.9,,,
2/9/16,SAN,Sandilands,.,4:23:54,0:00:20,3,2546,2,2,30,42.9,14.4,,,
2/9/16,COO,Coombe Lane,.,4:24:01,0:00:11,3,2541,0,0,3,4.3,1.4,,,
2/9/16,HRD,Harrington Road,.,4:24:04,0:00:20,2,2537,1,0,9,12.9,4.3,,,
2/9/16,BCJ,Beckenham Junction,A,4:24:38,,2,2539,7,0,7,10,3.4,,,
2/9/16,BDL,Beddington Lane,.,4:24:39,0:00:17,3,2552,4,3,35,50,16.8,,,
2/9/16,WCR,West Croydon,.,4:25:04,0:00:41,3,2548,1,0,5,7.1,2.4,,,
2/9/16,LEB,Lebanon Road,.,4:25:28,0:00:17,3,2546,1,0,29,41.4,13.9,,,
2/9/16,GVH,Gravel Hill,.,4:26:13,0:00:14,3,2541,0,1,2,2.9,1,,,
2/9/16,BKB,Birkbeck,.,4:26:30,0:00:17,2,2537,0,0,9,12.9,4.3,,,
2/9/16,MTJ,Mitcham Junction,.,4:26:58,0:00:20,3,2552,4,5,36,51.4,17.3,,,
2/9/16,ECR,East Croydon,.,4:27:25,0:00:24,3,2546,13,21,19,27.1,9.1,,,
2/9/16,AVR,Avenue Road,.,4:27:58,0:00:17,2,2537,2,0,7,10,3.4,,,
2/9/16,WLR,Wellesley Road,.,4:27:58,0:00:18,3,2548,0,0,5,7.1,2.4,,,
2/9/16,AVR,Avenue Road,.,4:28:24,0:00:19,2,2539,5,0,10,14.3,4.8,,,
2/9/16,ADV,Addington Village,.,4:28:26,0:00:16,3,2541,1,0,3,4.3,1.4,,,
2/9/16,GST,George Street,.,4:29:06,0:00:28,3,2546,16,0,33,47.1,15.9,,,
2/9/16,MTM,Mitcham,.,4:29:32,0:00:26,3,2552,9,1,44,62.9,21.2,,,
2/9/16,BCR,Beckenham Road,.,4:29:47,0:00:20,2,2537,1,0,6,8.6,2.9,,,
2/9/16,ECR,East Croydon,.,4:29:48,0:00:24,3,2548,2,5,4,5.7,1.9,,,
2/9/16,FLW,Fieldway,.,4:29:58,0:00:17,3,2541,3,0,6,8.6,2.9,,,
2/9/16,BKB,Birkbeck,.,4:30:00,0:00:14,2,2539,1,0,11,15.7,5.3,,,
2/9/16,WMB,Wimbledon,A,4:30:39,,3,2550,15,0,16,22.9,7.7,,,
2/9/16,CST,Church Street,.,4:30:48,0:00:19,3,2546,12,0,43,61.4,20.7,,,
2/9/16,BGW,Belgrave Walk,.,4:31:12,0:00:17,3,2552,3,2,45,64.3,21.6,,,
2/9/16,KHD,King Henry's Drive,.,4:31:33,0:00:15,3,2541,1,1,6,8.6,2.9,,,
2/9/16,LEB,Lebanon Road,.,4:31:44,0:00:20,3,2548,0,0,4,5.7,1.9,,,
2/9/16,PHL,Phipps Bridge,.,4:32:11,0:00:15,3,2552,0,2,45,64.3,21.6,,,
2/9/16,NAD,New Addington,B,4:32:54,,3,2541,0,6,0,0,0,,,
2/9/16,BCJ,Beckenham Junction,B,4:33:03,,2,2537,0,6,0,0,0,,,
2/9/16,SAN,Sandilands,.,4:33:07,0:00:18,3,2548,0,0,4,5.7,1.9,,,
2/9/16,MPK,Merton Park,.,4:33:26,0:00:18,3,2550,5,0,21,30,10.1,,,
2/9/16,WPK,Wandle Park,.,4:33:49,0:00:16,3,2546,6,0,49,70,23.6,,,
2/9/16,MRD,Morden Road,.,4:34:08,0:00:18,3,2552,1,9,39,55.7,18.8,,,
2/9/16,MRD,Morden Road,.,4:34:53,0:00:19,3,2550,7,0,28,40,13.5,,,
2/9/16,WDM,Waddon Marsh,.,4:34:55,0:00:17,3,2546,6,4,49,70,23.6,,,
2/9/16,WPK,Wandle Park,.,4:35:06,0:00:20,3,2544,1,0,2,2.9,1,,,
2/9/16,ARN,Arena,.,4:35:24,0:00:17,2,2539,1,0,12,17.1,5.8,,,
2/9/16,MPK,Merton Park,.,4:35:34,0:00:15,3,2552,0,1,38,54.3,18.3,,,
2/9/16,LPK,Lloyd Park,.,4:36:02,0:00:14,3,2548,0,0,4,5.7,1.9,,,
2/9/16,AMP,Ampere Way,.,4:36:16,0:00:17,3,2546,3,5,47,67.1,22.6,,,
2/9/16,PHL,Phipps Bridge,.,4:36:44,0:00:20,3,2550,1,0,29,41.4,13.9,,,
2/9/16,DDR,Dundonald Road,.,4:37:03,0:00:15,3,2552,2,1,39,55.7,18.8,,,
2/9/16,TPL,Therapia Lane,.,4:37:27,0:00:23,3,2546,5,14,38,54.3,18.3,,,
2/9/16,BHL,Blackhorse Lane,.,4:37:49,0:00:17,2,2539,4,0,14,20,6.7,,,
2/9/16,BGW,Belgrave Walk,.,4:37:51,0:00:15,3,2550,3,0,32,45.7,15.4,,,
2/9/16,NAD,New Addington,A,4:38:21,,3,2541,17,0,17,24.3,8.2,,,
2/9/16,COO,Coombe Lane,.,4:38:23,0:00:20,3,2548,0,1,3,4.3,1.4,,,
2/9/16,WMB,Wimbledon,B,4:38:35,,3,2552,0,39,0,0,0,,,
2/9/16,ADS,Addiscombe,.,4:39:11,0:00:18,2,2539,6,0,20,28.6,9.6,,,
2/9/16,KHD,King Henry's Drive,.,4:39:18,0:00:18,3,2541,3,0,20,28.6,9.6,,,
2/9/16,BCJ,Beckenham Junction,A,4:39:24,,2,2537,7,0,7,10,3.4,,,
2/9/16,MTM,Mitcham,.,4:39:30,0:00:17,3,2550,8,0,40,57.1,19.2,,,
2/9/16,BDL,Beddington Lane,.,4:40:07,0:00:16,3,2546,1,1,38,54.3,18.3,,,
2/9/16,WCR,West Croydon,.,4:40:23,0:00:38,3,2544,1,1,2,2.9,1,,,
2/9/16,FLW,Fieldway,.,4:40:51,0:00:22,3,2541,16,2,36,51.4,17.3,,,
2/9/16,GVH,Gravel Hill,.,4:40:52,0:00:17,3,2548,0,1,2,2.9,1,,,
2/9/16,SAN,Sandilands,.,4:41:27,0:00:18,2,2539,2,1,21,30,10.1,,,
2/9/16,MTJ,Mitcham Junction,.,4:41:46,0:00:23,3,2550,3,4,39,55.7,18.8,,,
2/9/16,MTJ,Mitcham Junction,.,4:42:19,0:00:20,3,2546,5,2,39,55.7,18.8,,,
2/9/16,ADV,Addington Village,.,4:42:34,0:00:18,3,2541,7,2,41,58.6,19.7,,,
2/9/16,ADV,Addington Village,.,4:43:04,0:00:20,3,2548,0,0,2,2.9,1,,,
2/9/16,AVR,Avenue Road,.,4:43:26,0:00:17,2,2537,1,0,8,11.4,3.8,,,
2/9/16,WLR,Wellesley Road,.,4:43:30,0:00:17,3,2544,3,0,5,7.1,2.4,,,
2/9/16,BDL,Beddington Lane,.,4:44:11,0:00:14,3,2550,0,2,37,52.9,17.8,,,
2/9/16,ECR,East Croydon,.,4:44:29,0:00:26,2,2539,0,18,3,4.3,1.4,,,
2/9/16,FLW,Fieldway,.,4:44:40,0:00:19,3,2548,0,1,1,1.4,0.5,,,
2/9/16,MTM,Mitcham,.,4:44:45,0:00:20,3,2546,15,2,50,71.4,24,,,
2/9/16,GVH,Gravel Hill,.,4:44:56,0:00:12,3,2541,2,0,43,61.4,20.7,,,
2/9/16,BKB,Birkbeck,.,4:44:59,0:00:16,2,2537,2,0,10,14.3,4.8,,,
2/9/16,ECR,East Croydon,.,4:45:20,0:00:22,3,2544,0,4,1,1.4,0.5,,,
2/9/16,WMB,Wimbledon,A,4:45:21,,3,2552,11,0,11,15.7,5.3,,,
2/9/16,KHD,King Henry's Drive,.,4:46:10,0:00:17,3,2548,4,0,1,1.4,0.5,,,
2/9/16,TPL,Therapia Lane,.,4:46:12,0:00:20,3,2550,4,5,36,51.4,17.3,,,
2/9/16,GST,George Street,.,4:46:22,0:00:17,2,2539,1,1,3,4.3,1.4,,,
2/9/16,BGW,Belgrave Walk,.,4:46:28,0:00:19,3,2546,7,1,54,77.1,26,,,
2/9/16,DDR,Dundonald Road,.,4:46:43,0:00:13,3,2552,1,0,12,17.1,5.8,,,
2/9/16,HRD,Harrington Road,.,4:47:02,0:00:15,2,2537,1,0,11,15.7,5.3,,,
2/9/16,LEB,Lebanon Road,.,4:47:09,0:00:15,3,2544,1,0,2,2.9,1,,,
2/9/16,COO,Coombe Lane,.,4:47:21,0:00:14,3,2541,0,2,41,58.6,19.7,,,
2/9/16,AMP,Ampere Way,.,4:47:23,0:00:17,3,2550,3,2,37,52.9,17.8,,,
2/9/16,NAD,New Addington,B,4:47:30,,3,2548,0,1,0,0,0,,,
2/9/16,PHL,Phipps Bridge,.,4:47:33,0:00:17,3,2546,7,1,60,85.7,28.8,,,
2/9/16,CST,Church Street,.,4:47:54,0:00:17,2,2539,0,2,1,1.4,0.5,,,
2/9/16,MPK,Merton Park,.,4:48:09,0:00:15,3,2552,3,0,15,21.4,7.2,,,
2/9/16,SAN,Sandilands,.,4:48:35,0:00:21,3,2544,2,0,4,5.7,1.9,,,
2/9/16,WDM,Waddon Marsh,.,4:48:37,0:00:15,3,2550,3,2,38,54.3,18.3,,,
2/9/16,ARN,Arena,.,4:49:16,0:00:17,2,2537,1,1,13,18.6,6.3,,,
2/9/16,MRD,Morden Road,.,4:49:29,0:00:17,3,2552,4,0,19,27.1,9.1,,,
2/9/16,MRD,Morden Road,.,4:49:34,0:00:20,3,2546,3,12,51,72.9,24.5,,,
2/9/16,WPK,Wandle Park,.,4:49:47,0:00:16,3,2550,3,1,40,57.1,19.2,,,
2/9/16,LPK,Lloyd Park,.,4:49:58,0:00:14,3,2541,5,0,46,65.7,22.1,,,
2/9/16,WDS,Woodside,.,4:50:38,0:00:14,2,2537,2,0,15,21.4,7.2,,,
2/9/16,MPK,Merton Park,.,4:51:08,0:00:15,3,2546,1,2,50,71.4,24,,,
2/9/16,PHL,Phipps Bridge,.,4:51:20,0:00:15,3,2552,2,0,21,30,10.1,,,
2/9/16,WCR,West Croydon,B,4:51:29,,2,2539,0,1,0,0,0,,,
2/9/16,BHL,Blackhorse Lane,.,4:51:38,0:00:27,2,2537,4,0,19,27.1,9.1,,,
2/9/16,RVC,Reeves Corner,.,4:51:45,0:00:17,3,2550,0,2,38,54.3,18.3,,,
2/9/16,WCR,West Croydon,A,4:52:06,,2,2539,4,0,5,7.1,2.4,,,
2/9/16,BGW,Belgrave Walk,.,4:52:17,0:00:18,3,2552,5,0,26,37.1,12.5,,,
2/9/16,DDR,Dundonald Road,.,4:52:37,0:00:15,3,2546,0,2,48,68.6,23.1,,,
2/9/16,SAN,Sandilands,.,4:52:58,0:00:18,3,2541,8,4,52,74.3,25,,,
2/9/16,TWR,Centrale,.,4:53:07,0:00:26,3,2550,7,5,40,57.1,19.2,,,
2/9/16,ADS,Addiscombe,.,4:53:10,0:00:15,2,2537,5,1,23,32.9,11.1,,,
2/9/16,NAD,New Addington,A,4:53:14,,3,2548,22,0,22,31.4,10.6,,,
2/9/16,MTM,Mitcham,.,4:54:00,0:00:29,3,2552,5,2,31,44.3,14.9,,,
2/9/16,COO,Coombe Lane,.,4:54:14,0:00:17,3,2544,0,1,3,4.3,1.4,,,
2/9/16,KHD,King Henry's Drive,.,4:54:18,0:00:18,3,2548,4,0,26,37.1,12.5,,,
2/9/16,WMB,Wimbledon,B,4:54:21,,3,2546,0,48,0,0,0,,,
2/9/16,LEB,Lebanon Road,.,4:54:30,0:00:15,3,2541,1,0,53,75.7,25.5,,,
2/9/16,WLR,Wellesley Road,.,4:54:40,0:00:20,2,2539,1,0,6,8.6,2.9,,,
2/9/16,SAN,Sandilands,.,4:55:06,0:00:18,2,2537,3,4,22,31.4,10.6,,,
2/9/16,WCR,West Croydon,.,4:55:21,0:00:26,3,2550,5,10,35,50,16.8,,,
2/9/16,FLW,Fieldway,.,4:55:53,0:00:21,3,2548,19,2,45,64.3,21.6,,,
2/9/16,ECR,East Croydon,.,4:56:21,0:00:32,3,2541,23,31,53,75.7,25.5,,,
